Instructors name,Profile,Students Enrolled
Filip Schouwenaars,https://www.datacamp.com/instructors/filipsch,1186000
Jonathan Cornelissen,https://www.datacamp.com/instructors/jonathanauthor,698000
Hugo Bowne-Anderson,https://www.datacamp.com/instructors/hugobowne,168000
Nick Carchedi,https://www.datacamp.com/instructors/nickyc,145500
Dhavide Aruliah,https://www.datacamp.com/instructors/continuum,81500
Garrett Grolemund,https://www.datacamp.com/instructors/garrettgrolemund,172000
Greg Wilson,https://www.datacamp.com/instructors/greg48f6413b062b43d9922770f18691b376,26000
Andreas MÃ¼ller,https://www.datacamp.com/instructors/andymueller,30000
Rick Scavetta,https://www.datacamp.com/instructors/rickscavetta,96500
Lore Dirick,https://www.datacamp.com/instructors/lore,44000
Dan Becker,https://www.datacamp.com/instructors/dansbecker,46500
David Robinson,https://www.datacamp.com/instructors/drobinson,21000
Mine Cetinkaya-Rundel,https://www.datacamp.com/instructors/mine,22500
Charlotte Wickham,https://www.datacamp.com/instructors/cwickham,52500
Justin Bois,https://www.datacamp.com/instructors/bois,31500
Daniel Chen,https://www.datacamp.com/instructors/dcheny,21500
Bryan Van de Ven,https://www.datacamp.com/instructors/bryanv,37000
Chester Ismay,https://www.datacamp.com/instructors/chester,13500
Jason Myers,https://www.datacamp.com/instructors/jasonamyers,21500
Ben Baumer,https://www.datacamp.com/instructors/bbaumer,20000
Michael Kane,https://www.datacamp.com/instructors/kaneplusplus,1500
Simon Urbanek,https://www.datacamp.com/instructors/simonurbanek,1500
Hadley Wickham,https://www.datacamp.com/instructors/hwickham,38500
Brett Lantz,https://www.datacamp.com/instructors/lantzb,8500
Ronald Pearson,https://www.datacamp.com/instructors/ronaldkpearson,17000
Max Kuhn,https://www.datacamp.com/instructors/maxkuhn,17000
Zachary Deane-Mayer,https://www.datacamp.com/instructors/zachmayer,17000
Eric Ma,https://www.datacamp.com/instructors/ericmajinglong,15500
Benjamin Wilson,https://www.datacamp.com/instructors/benjaminb4cfa5bfcd354d99b4d0cee5fc44a6e9,12000
Andrew Bray,https://www.datacamp.com/instructors/abray,12000
Katharine Jarmul,https://www.datacamp.com/instructors/katharinecc6b90c27e1b40129c2745c9215cc689,8000
Stefan Jansen,https://www.datacamp.com/instructors/stefanc7679de853c74cadb413cd65b3c3dd74,9500
David S. Matteson,https://www.datacamp.com/instructors/mattesondavid,13000
Jo Hardin,https://www.datacamp.com/instructors/johardin,8000
Vincent Vankrunkelsven,https://www.datacamp.com/instructors/vincentvankrunkelsven641158bcfbb54cb9af0b86c77d151b07,57500
Gilles Inghelbrecht,https://www.datacamp.com/instructors/gillesinghelbrecht,57500
Peter Bull,https://www.datacamp.com/instructors/peter-929a90ab-0e62-41e0-af37-39066fab8e60,7500
Jeffrey Ryan,https://www.datacamp.com/instructors/jeffreyryan,12000
Ted Kwartler,https://www.datacamp.com/instructors/ehk116,22000
Alan Nichol,https://www.datacamp.com/instructors/alanlastmile,500
Hank Roark,https://www.datacamp.com/instructors/hankroark,9000
Nick Solomon,https://www.datacamp.com/instructors/nicksolomon,2000
Richie Cotton,https://www.datacamp.com/instructors/richie,10500
Dakota Wixom,https://www.datacamp.com/instructors/dakota-wixom,2000
Rob J. Hyndman,https://www.datacamp.com/instructors/rob-hyndman,9500
Matt Dowle,https://www.datacamp.com/instructors/mattdowle8716661fd4ff4fc4bc176906ab13c679,46000
Arun Srinivasan,https://www.datacamp.com/instructors/arunsrinivasan,46000
Ted Kwartler,https://www.datacamp.com/instructors/tedkwartler,20000
James Curley,https://www.datacamp.com/instructors/jc3181,1500
David Stoffer,https://www.datacamp.com/instructors/stoffer,7500
Gabriela de Queiroz,https://www.datacamp.com/instructors/gabidequeiroz,2000
Erin LeDell,https://www.datacamp.com/instructors/erin52bb6dbcce0848709fc031fd8632fc83,2000
John Mount,https://www.datacamp.com/instructors/jmount,4500
Nina Zumel,https://www.datacamp.com/instructors/nzumel,4500
Sergey Fogelson,https://www.datacamp.com/instructors/sergeyfogelson,3500
Colin Gillespie,https://www.datacamp.com/instructors/colingillespie,4500
Daniel Kaplan,https://www.datacamp.com/instructors/dtkaplan,12500
Clifford Ang,https://www.datacamp.com/instructors/csa,5000
Kris Boudt,https://www.datacamp.com/instructors/krisboudt,13000
Joshua Ulrich,https://www.datacamp.com/instructors/joshmulrich,4000
Oliver Keyes,https://www.datacamp.com/instructors/ironholds,3500
Ilya  Kipnis,https://www.datacamp.com/instructors/ilyakipnis,8500
Julia Silge,https://www.datacamp.com/instructors/juliasilge,3000
Zev Ross,https://www.datacamp.com/instructors/zev-1ffa00b3-0164-4e31-aed6-b6e9b821a09a,1000
Matt Isaacs,https://www.datacamp.com/instructors/mattisaacs,3500
Arnaud Amsellem,https://www.datacamp.com/instructors/thertrader,2500
Timo Grossenbacher,https://www.datacamp.com/instructors/timogrossenbacher,500
Ross Bennett,https://www.datacamp.com/instructors/rossbennett34,2500
Alexander J. McNeil,https://www.datacamp.com/instructors/alexanderjmcneil,2500
Barry Rowlingson,https://www.datacamp.com/instructors/browlingson,2500
Dean Attali,https://www.datacamp.com/instructors/daattalidatacamp,500
Deepayan Sarkar,https://www.datacamp.com/instructors/deepayansarkar,1500
Brian M. Mills,https://www.datacamp.com/instructors/bmmillsy,6500
Matthew Rocklin,https://www.datacamp.com/instructors/matthew50087efc3d9f49df85f1d2cf834e709c,500
